business_id,business_name,business_type,city,address,latitude,longitude
1,Farmacia Centro,Farmacia,Colima,"Av. Constitución 100, Colima",19.243300,-103.724900
2,Farmacia Norte,Farmacia,Colima,"Felipe Sevilla del Río 200, Colima",19.260100,-103.715400
3,Restaurante La Esquina,Restaurante,Colima,"Madero 50, Colima",19.245800,-103.727100
4,Ferretería Colima,Ferretería,Colima,"Rey Colimán 300, Colima",19.238900,-103.730500
5,Gimnasio Fit Colima,Gimnasio,Colima,"Tercer Anillo 500, Colima",19.265200,-103.701400
6,Tienda Kiosko,Tienda de conveniencia,Colima,"Av. San Fernando 120, Colima",19.252000,-103.709000
7,Farmacia Guadalajara,Farmacia,Guadalajara,"Av. México 1000, Guadalajara",20.673600,-103.344000
8,Restaurante Tapatío,Restaurante,Guadalajara,"Chapultepec 350, Guadalajara",20.676800,-103.363700
9,Ferretería Minerva,Ferretería,Guadalajara,"Vallarta 2200, Guadalajara",20.674100,-103.387200
10,Gimnasio Providencia,Gimnasio,Guadalajara,"Rubén Darío 700, Guadalajara",20.699700,-103.381000
11,Farmacia Monterrey,Farmacia,Monterrey,"Morelos 500, Monterrey",25.686600,-100.316100
12,Restaurante Regio,Restaurante,Monterrey,"Calzada del Valle 300, Monterrey",25.660800,-100.371200
13,Ferretería Norte,Ferretería,Monterrey,"Av. Universidad 100, Monterrey",25.724500,-100.310300
14,Gimnasio San Pedro,Gimnasio,Monterrey,"Vasconcelos 900, Monterrey",25.650000,-100.362000
15,Farmacia Roma,Farmacia,CDMX,"Álvaro Obregón 200, CDMX",19.419400,-99.160200
16,Restaurante Condesa,Restaurante,CDMX,"Amsterdam 150, CDMX",19.412900,-99.171200
17,Ferretería Centro,Ferretería,CDMX,"Eje Central 90, CDMX",19.432600,-99.133200
18,Gimnasio Polanco,Gimnasio,CDMX,"Masaryk 400, CDMX",19.433600,-99.190700
